AUTHOR,BORN_DIED,TITLE,DATE,TECHNIQUE,LOCATION,URL,FORM,STYLE,SCHOOL,TIMEFRAME
"STRÓBL, Alajos","(b. 1856, Liptóújvár, d. 1926, Budapest)",Portrait of Mihály Munkácsy,1905-18,"Bronze, height 55 cm","Magyar Nemzeti Galéria, Budapest",http://www.wga.hu/html/s/strobl/5munkacs.html,painting,portrait,Hungarian,1851-1900
"STRÖHLING, Eduard","(b. 1768, Düsseldorf, d. after 1826, London)",Portrait of Colonel (later General Sir) George De Lacy Evans,c. 1825,"Oil on copper, 62 x 48 cm",Private collection,http://www.wga.hu/html/s/strohlin/de_lacy.html,painting,portrait,German,1801-1850
"STROZZI, Bernardo","(b. 1581, Genova, d. 1644, Venezia)",Old Woman at the Mirror,c. 1615,"Oil on canvas, 132 x 108 cm","Pushkin Museum, Moscow",http://www.wga.hu/html/s/strozzi/1/mirror.html,painting,portrait,Italian,1601-1650
"STROZZI, Bernardo","(b. 1581, Genova, d. 1644, Venezia)",Portrait of a Knight (detail),c. 1640,Oil on canvas,"Gallerie dell'Accademia, Venice",http://www.wga.hu/html/s/strozzi/2/knight_d.html,painting,portrait,Italian,1601-1650
"STROZZI, Bernardo","(b. 1581, Genova, d. 1644, Venezia)",Portrait of a Knight,c. 1640,"Oil on canvas, 277 x 147 cm","Gallerie dell'Accademia, Venice",http://www.wga.hu/html/s/strozzi/2/knight.html,painting,portrait,Italian,1601-1650
"STROZZI, Bernardo","(b. 1581, Genova, d. 1644, Venezia)",Portrait of a Maltese Knight,c. 1640,"Oil on canvas, 129 x 98 cm","Pinacoteca di Brera, Milan",http://www.wga.hu/html/s/strozzi/2/maltese.html,painting,portrait,Italian,1601-1650
"STROZZI, Bernardo","(b. 1581, Genova, d. 1644, Venezia)",Portrait of Cardinal Federico Cornaro,c. 1640,Oil on canvas,"Museo del Settecento Veneziano, Ca' Rezzonico, Venice",http://www.wga.hu/html/s/strozzi/2/port_cor.html,painting,portrait,Italian,1601-1650
"STUART, Gilbert","(b. 1755, North Kingstown, d. 1828, Boston)","Portrait of the Mohawk Chieftain Thayendanegea, Known as Joseph Brant",1786,"Oil on canvas, 76 x 61 cm",Private collection,http://www.wga.hu/html/s/stuart/mohawk.html,painting,portrait,American,1751-1800
"STUART, Gilbert","(b. 1755, North Kingstown, d. 1828, Boston)",George Washington,1795,"Oil on canvas, 77 64 cm","Metropolitan Museum of Art, New York",http://www.wga.hu/html/s/stuart/washingt.html,painting,portrait,American,1751-1800
"STUBBS, George","(b. 1724, Liverpool, d. 1806, London)",King Charles Spaniel,1776,"Oil on panel, 59 x 71 cm",Private collection,http://www.wga.hu/html/s/stubbs/spaniel.html,painting,portrait,English,1751-1800
"STUBBS, George","(b. 1724, Liverpool, d. 1806, London)",Portrait of a Dark Brown and White Newfoundland Spaniel,1784,"Oil on panel, 69 x 93 cm",Private collection,http://www.wga.hu/html/s/stubbs/spaniel1.html,painting,portrait,English,1751-1800
"STUBBS, George","(b. 1724, Liverpool, d. 1806, London)",The Milbanke and Melbourne Families,c. 1769,"Oil on canvas, 97 x 149 cm","National Gallery, London",http://www.wga.hu/html/s/stubbs/families.html,painting,portrait,English,1751-1800
"STUCK, Franz von","(b. 1863, Tettenweis, d. 1928, Tetschen)",Self-Portrait in the Studio,-,"Oil on panel, 73 x 76 cm","Nationalgalerie, Berlin",http://www.wga.hu/html/s/stuck/selfport.html,painting,portrait,German,1851-1900
"SUBLEYRAS, Pierre","(b. 1699, Saint-Gilles-du-Gard, d. 1749, Rome)",Don Cesare Benvenuti,1742,"Oil on canvas, 138 x 101 cm","Musée du Louvre, Paris",http://www.wga.hu/html/s/subleyra/benvenut.html,painting,portrait,French,1701-1750
"SUBLEYRAS, Pierre","(b. 1699, Saint-Gilles-du-Gard, d. 1749, Rome)",Portrait of a Man,-,"Oil on canvas, 65 x 49 cm",Private collection,http://www.wga.hu/html/s/subleyra/port_man.html,painting,portrait,French,1701-1750
"SUBLEYRAS, Pierre","(b. 1699, Saint-Gilles-du-Gard, d. 1749, Rome)",Portrait of a Man,c. 1745,"Oil on canvas, 74 x 61 cm","Musée du Louvre, Paris",http://www.wga.hu/html/s/subleyra/portrait.html,painting,portrait,French,1701-1750
"SUBLEYRAS, Pierre","(b. 1699, Saint-Gilles-du-Gard, d. 1749, Rome)",Self-Portrait before the Easel,1746,"Oil on canvas, 125 x 99 cm","Akademie der bildenden Künste, Vienna",http://www.wga.hu/html/s/subleyra/studio1.html,painting,portrait,French,1701-1750
